Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,34.518199,-36.449,0,bottom
C2,1uF,C_0805_2012Metric,37.973,-36.449,180,bottom
C3,0.1uF,C_0805_2012Metric,36.068,-51.943,180,bottom
C4,0.1uF,C_0805_2012Metric,52.832,-53.7972,90,bottom
C5,4.7uF,C_0805_2012Metric,36.086166,-49.911,180,bottom
C6,0.1uF,C_0805_2012Metric,45.847,-44.45,180,bottom
C7,4.7uF,C_0805_2012Metric,48.895,-46.482,0,bottom
C8,10nF,C_0805_2012Metric,46.99,-61.595,-90,bottom
C9,1uF,C_0805_2012Metric,44.958,-61.595,-90,bottom
C10,4.7nF,C_0805_2012Metric,42.0116,-20.2184,0,bottom
C11,0.1uF,C_0805_2012Metric,64.77,-106.4999,-90,bottom
C12,0.1uF,C_0805_2012Metric,90.17,-106.426,-90,bottom
C13,0.1uF,C_0805_2012Metric,150.495,-106.3625,-90,bottom
C14,0.1uF,C_0805_2012Metric,171.958,-106.426,-90,bottom
C15,0.1uF,C_0805_2012Metric,193.294,-106.299,-90,bottom
C16,0.1uF,C_0805_2012Metric,253.619,-106.426,-90,bottom
C17,0.1uF,C_0805_2012Metric,279.019,-106.426,-90,bottom
C18,4.7nF,C_0805_2012Metric,46.0088,-82.169,-90,bottom
C19,100uF,C_0805_2012Metric,56.0832,-82.169,-90,bottom
D1,1N4148W,D_SOD-123,20.644326,-33.3375,180,bottom
D2,1N4148W,D_SOD-123,51.990625,-31.75,90,bottom
D3,1N4148W,D_SOD-123,55.959375,-26.9875,90,bottom
D4,1N4148W,D_SOD-123,75.009375,-26.9875,90,bottom
D5,1N4148W,D_SOD-123,94.059375,-26.9875,90,bottom
D6,1N4148W,D_SOD-123,113.109375,-26.9875,90,bottom
D7,1N4148W,D_SOD-123,132.159375,-26.9875,90,bottom
D8,1N4148W,D_SOD-123,151.209375,-26.9875,90,bottom
D9,1N4148W,D_SOD-123,170.259375,-26.9875,90,bottom
D10,1N4148W,D_SOD-123,189.309375,-26.9875,90,bottom
D11,1N4148W,D_SOD-123,208.359375,-26.9875,90,bottom
D12,1N4148W,D_SOD-123,227.409375,-26.9875,90,bottom
D13,1N4148W,D_SOD-123,246.459375,-26.9875,90,bottom
D14,1N4148W,D_SOD-123,275.034375,-26.9875,90,bottom
D15,1N4148W,D_SOD-123,303.609375,-26.9875,90,bottom
